colsample_bylevel,colsample_bynode,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample,mean_test_score
0.2,1.0,1.0,0.0,0.9,9,0.0,2.737,1.693,1.0,0.9376
1.0,0.2,1.0,0.0,0.9,9,0.0,0.0,0.0,1.0,0.93754
0.2,1.0,0.2,3.87,0.9,6,0.0,0.0,2.318,1.0,0.93746
1.0,1.0,0.2,3.987,0.9,5,0.0,1.446,1.276,1.0,0.93728
0.2,1.0,1.0,0.0,0.9,10,4.093,2.349,3.304,1.0,0.93723
0.2,1.0,0.2,0.0,0.9,7,1.989,5.0,5.0,1.0,0.9372
1.0,0.2,0.2,1.637,0.9,10,4.761,0.0,2.982,1.0,0.93702
0.2,1.0,0.2,0.0,0.9,7,1.684,5.0,1.288,1.0,0.937
0.2,0.2,0.2,0.0,0.9,9,5.361,2.995,1.605,1.0,0.93682
1.0,0.2,1.0,1.442,0.9,7,0.0,2.584,0.0,1.0,0.93674
0.2,0.2,0.2,0.0,0.9,10,0.0,5.0,2.059,1.0,0.93665
1.0,0.2,1.0,0.0,0.2,10,7.5,0.0,1.537,1.0,0.93659
1.0,1.0,0.2,0.0,0.2,10,7.5,2.097,0.0,1.0,0.93656
1.0,1.0,1.0,3.269,0.9,4,4.177,0.0,0.0,1.0,0.93656
0.2,1.0,0.2,2.808,0.9,4,3.329,0.0,5.0,1.0,0.93656
0.2,1.0,1.0,0.0,0.9,6,0.0,2.582,5.0,1.0,0.93653
1.0,0.2,0.2,3.423,0.9,4,0.0,0.0,5.0,1.0,0.93651
0.2,0.2,0.2,1.519,0.9,8,0.425,0.0,0.0,1.0,0.93642
1.0,1.0,1.0,0.0,0.9,4,3.879,0.0,5.0,1.0,0.93639
0.719,0.754,0.781,0.456,0.573,8,3.176,4.921,1.661,0.9,0.93636
0.2,1.0,0.2,0.0,0.9,10,4.344,5.0,5.0,1.0,0.9363
0.2,0.2,0.2,0.0,0.9,10,3.055,5.0,2.834,1.0,0.93628
0.672,0.534,0.933,1.764,0.556,6,1.502,4.411,0.035,0.88,0.9361
0.2,1.0,1.0,0.0,0.9,4,0.0,5.0,5.0,1.0,0.93604
1.0,1.0,1.0,0.0,0.9,4,0.0,5.0,0.0,1.0,0.93602
0.2,0.2,0.268,0.0,0.9,10,5.797,0.0,5.0,1.0,0.93593
1.0,0.2,0.2,0.0,0.9,6,0.0,5.0,0.0,1.0,0.9359
