kernel,C,coef0,degree,gamma,tol,mean_test_score
poly,9.992141320236302,19.493543398626166,1.6391489318951722,14.73724313575534,1.5301792855908727,0.93697
poly,304.4691456208135,-20.0,1.0,15.0,2.0,0.93679
poly,351.69313015842187,8.314573305132697,3.3134744543162413,1.8970714045574928,1.3302153003862784,0.93671
poly,616.7042465939467,20.0,1.0,15.0,2.0,0.93642
poly,849.9119892368951,20.0,1.0,15.0,2.0,0.93625
rbf,198.82179185564394,,,3.3837128376085346,1.426136643217501,0.93604
poly,669.7563923908,7.206309789393757,3.8153577714940394,1.5628409145381656,1.590440416473571,0.93596
poly,629.0573069463965,-11.004638675929497,5.0,0.0,0.0001,0.93593
poly,825.9792035337493,18.977794257573642,1.6838432612094127,14.336486077751239,0.27002614212978965,0.93581
poly,898.8731743194312,20.0,1.0,15.0,0.0001,0.93576
poly,244.24871416307855,20.0,5.0,0.0,0.0001,0.93576
poly,177.69761985707495,20.0,5.0,0.0,2.0,0.93555
poly,949.3698510712697,20.0,1.0,15.0,0.0001,0.9355
poly,236.656672998994,-20.0,5.0,0.0,0.0001,0.93541
poly,731.7404545300791,19.306350938043998,2.29637086438026,5.109700815905454,1.6676430341844668,0.9353
poly,29.134929091582546,14.66195018580133,1.568039362526295,9.538420513504152,0.8354949111207631,0.9353
poly,319.22642788576974,-19.377257194936465,5.0,0.0,0.0001,0.93527
poly,713.0542612534916,1.0814349411304214,1.5065455070736302,1.8785026750097233,0.5639610848275567,0.93506
poly,807.315832407783,-1.2020172605703312,1.0,15.0,2.0,0.93504
poly,867.6728329970525,19.724597437800142,1.9670078115347311,11.620392201090365,0.37678517647106485,0.93469
poly,350.78718163038303,9.569592931959914,3.4353674347199337,2.126361565620178,0.5070934093185215,0.93457
poly,497.7289861689484,18.12084697282915,3.9666673325500295,0.4266596014977475,0.6129463750324925,0.93437
poly,310.8304889265555,12.759488828754002,2.3390104982861004,2.9057027801031405,0.2207156187726955,0.93408
linear,0.042980053394831824,,,,0.9014118837906527,0.93388
poly,646.9411757557734,19.80525585136492,2.381165393522554,14.842401557747237,0.9162469823012458,0.93385
rbf,956.2777554497719,,,0.0,0.0001,0.93342
